Commodity,horizon_months,mae_raw,mape_raw,n
Sugar,15.0,152.64285714285714,1.7488433492467288,14
Sugar,16.0,166.69230769230768,1.9324393705950471,13
Sugar,17.0,196.85714285714286,2.281294381532734,14
Sugar,18.0,278.64285714285717,3.214850802852849,14
Sugar,19.0,364.6666666666667,4.239644864681003,12
Sugar,20.0,329.7142857142857,3.8412370518593915,14
Sugar,21.0,270.5,3.1757633150239353,14
Sugar,22.0,312.57142857142856,3.6222624980064526,14
Sugar,23.0,326.2142857142857,3.743003365081259,14
Sugar,24.0,312.57142857142856,3.59169382703234,14
Wheat,1.0,0.0,0.0,16
Wheat,2.0,0.0,0.0,15
Wheat,3.0,0.0,0.0,15
Wheat,4.0,0.0,0.0,14
Wheat,5.0,0.06666666666666667,0.003829216925138809,15
Wheat,6.0,0.06666666666666667,0.003829216925138809,15
Wheat,7.0,0.07692307692307693,0.00441832722131401,13
Wheat,8.0,3.0,0.150491802920517,15
Wheat,9.0,3.0,0.150491802920517,15
Wheat,10.0,3.0,0.150491802920517,15
Wheat,11.0,3.0,0.150491802920517,15
Wheat,12.0,3.0,0.150491802920517,15
Wheat,13.0,3.0,0.150491802920517,15
Wheat,14.0,3.0714285714285716,0.15480040844923357,14
Wheat,15.0,3.0714285714285716,0.15480040844923357,14
Wheat,16.0,3.230769230769231,0.16262733233932972,13
Wheat,17.0,3.0714285714285716,0.15480040844923357,14
Wheat,18.0,3.0714285714285716,0.15480040844923357,14
Wheat,19.0,7.5,0.37367557527198486,12
Wheat,20.0,40.785714285714285,2.179842749576727,14
Wheat,21.0,40.785714285714285,2.179842749576727,14
Wheat,22.0,48.642857142857146,2.58820096669119,14
Wheat,23.0,97.0,5.046556323313079,14
Wheat,24.0,98.0,5.027300738561967,14
